item,link,reason,cost,count
u.FL to SMA,https://www.amazon.com/dp/B0D29JTYPK ,antenna connector,$7.19,5
RP-SMA ,https://www.amazon.com/dp/B09KLR18H5/,antenna,$6.99,2
switches,https://www.amazon.com/dp/B0GV2FGCPX/,for switching,$13.90,72
sockets,https://www.amazon.com/dp/B0BVH64NXR,for hotswapping,$10.99,70
keycaps,https://www.amazon.com/dp/B0F6L7QTG5/,so i can press them,$12.99,121
Samsung Electro-Mechanics CL21B106KOQNNNE,https://www.lcsc.com/product-detail/C95841.html,passive,$0,20
YAGEO CC0805KRX7R9BB104,https://www.lcsc.com/product-detail/C49678.html,passive,$1,60
Samsung Electro-Mechanics CL21B475KAFNNNE,https://www.lcsc.com/product-detail/C98195.html,passive,$1.83,30
LIZ CD4148WSP,https://www.lcsc.com/product-detail/C109001.html,passive,$2.02,100
UNI-ROYAL 0805W8F5101T5E,https://www.lcsc.com/product-detail/C27834.html,passive,$0.00,100
FOJAN FRC0805F1501TS,https://www.lcsc.com/product-detail/C2907216.html,passive,$0.03,100
UNI-ROYAL 0805W8F4700T5E,https://www.lcsc.com/product-detail/C17710.html,passive,$0.00,100
FOJAN FRC0805F1001TS,https://www.lcsc.com/product-detail/C2907232.html,passive,$0.31,100
FOJAN FRC0805F1002TS,https://www.lcsc.com/product-detail/C2907219.html,passive,$0.35,100
FOJAN FRC0805F4701TS,https://www.lcsc.com/product-detail/C2907264.html,passive,$0.30,100
C&K JS102011SAQN,https://www.lcsc.com/product-detail/C221660.html,Switch,$5.84,5
ALPSALPINE EC11E15244G1,https://www.lcsc.com/product-detail/C370970.html,Rotary Encoder,$11.37,5
onsemi NCP1117ST33T3G,https://www.lcsc.com/product-detail/C26537.html,LDO for voltage regulation,$1.18,5
ST USBLC6-2SC6,https://www.lcsc.com/product-detail/C7519.html,ESD protection,$0.92,5
ESPRESSIF ESP32-C6-MINI-1U-H4,https://www.lcsc.com/product-detail/C20627095.html,MCU,$20.59,5
TI TVS1400DRVR,https://www.lcsc.com/product-detail/C1975229.html,Flat clamp TVS diode,$2.45,5
TI BQ24075RGTR,https://www.lcsc.com/product-detail/C15464.html,Battery Charging,$6.00,5
Global Connector Technology USB4510-03-1-A,https://www.lcsc.com/product-detail/C5815192.html,Midmount USB-C receptacle,$5.95,5
Megastar ZX-PZ1.0-1-16PZZ,https://www.lcsc.com/product-detail/C37328866.html,16-Pin Bridge,$0.69,5
YONGYUTAI YLED0603B,https://www.lcsc.com/product-detail/C19171394.html,Blue indicator LED,$0.59,100
YONGYUTAI YLED0603G,https://www.lcsc.com/product-detail/C19273151.html,"""Emerald Green"" indicator LED",$0.59,100
YONGYUTAI YLED0603R,https://www.lcsc.com/product-detail/C19171390.html,Red indicator LED,$0.59,100
YONGYUTAI YLED0805Y,https://www.lcsc.com/product-detail/C20608785.html,Yellow indicator LED,$0.59,50
PCB,https://jlcpcb.com/,kind of important,$46.99,1
,,,,
,total,,,$162.55
