Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C7",0805,3,10u,
"C3, C4, C5",0805,3,100n,
"C6, C8, C9",0805,3,4.7u,
"D1, D2",0805,2,LED,
D3,0805,1,MODE_IND,
D4,0805,1,BOOT_IND,
D5,0805,1,TXRX_IND,
J1,GCT_USB4510-03-1-A_REVA,1,USB_C_Receptacle_USB2.0_16P,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Battery,
J3,PinHeader_1x16_P1.00mm_Vertical,1,Conn_01x16_Pin,
"R1, R2",0805,2,5k1,
"R10, R12",0805,2,1k,
R11,0805,1,4.7k,
"R13, R14, R15",0805,3,470,
"R3, R4, R5, R6, R8",0805,5,10k,
R7,0805,1,27k,
R9,0805,1,1.5k,
"SW1, SW2",SW_JS102011SAQN,2,SW_SPDT,
SW3,SW_PUSH_1P1T_6x3.5mm_H4.3_APEM_MJTP1243,1,EN,
SW4,SW_PUSH_1P1T_6x3.5mm_H4.3_APEM_MJTP1243,1,BOOT,
U1,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
U2,SOT-23-6,1,USBLC6-2SC6,
U3,XCVR_ESP32-C6-MINI-1U-H4,1,ESP32-C6-MINI-1,
U4,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,TVS1400DRV,
U5,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24075RGT,
