Designator,Mid X,Mid Y,Rotation,Layer
D10,92.6375,-21.95,90.0,top
D11,111.6375,-23.95,90.0,top
D12,16.4375,-43.95,90.0,top
D13,35.4375,-43.95,90.0,top
D14,54.5375,-41.05,90.0,top
D15,73.5375,-38.95,90.0,top
D16,92.6375,-40.95,90.0,top
D17,111.6375,-42.95,90.0,top
D18,16.4375,-63.05,90.0,top
D19,35.4375,-63.05,90.0,top
D20,54.5375,-60.05,90.0,top
D21,73.5375,-58.05,90.0,top
D22,92.6375,-60.05,90.0,top
D23,111.6375,-62.05,90.0,top
D24,16.4375,-82.15,90.0,top
D25,35.5375,-82.05,90.0,top
D26,54.5375,-79.15,90.0,top
D27,73.5375,-77.15,90.0,top
D28,92.6375,-79.15,90.0,top
D29,111.6375,-81.15,90.0,top
D30,69.1375,-96.95,135.0,top
D31,90.774587,-98.687087,135.0,top
D32,113.5375,-101.55,180.0,top
D33,133.6375,-83.65,135.0,top
D34,133.799999,-47.15,180.0,top
D35,133.799999,-28.115,180.0,top
D6,16.4375,-24.95,90.0,top
D7,35.4375,-24.887501,90.0,top
D8,54.5375,-21.95,90.0,top
D9,73.5375,-19.95,90.0,top
H1,37.0,-9.45,0.0,top
H2,48.0,-86.45,0.0,top
H3,134.5,-18.0,0.0,top
H4,131.5375,-79.95,0.0,top
J4,137.5,-33.5,180.0,top
SW10,85.0375,-13.05,180.0,top
SW11,104.0875,-15.05,180.0,top
SW12,8.8375,-35.1,180.0,top
SW13,27.8875,-35.1,180.0,top
SW14,46.9375,-32.1,180.0,top
SW15,65.9875,-30.1,180.0,top
SW16,85.0375,-32.1,180.0,top
SW17,104.0875,-34.1,180.0,top
SW18,8.8375,-54.15,180.0,top
SW19,27.8875,-54.15,180.0,top
SW20,46.9375,-51.15,180.0,top
SW21,65.9875,-49.15,180.0,top
SW22,85.0375,-51.15,180.0,top
SW23,104.0875,-53.15,180.0,top
SW24,8.8375,-73.2,180.0,top
SW25,27.8875,-73.2,180.0,top
SW26,46.9375,-70.2,180.0,top
SW27,65.9875,-68.2,180.0,top
SW28,85.0375,-70.2,180.0,top
SW29,104.0875,-72.2,180.0,top
SW30,59.7375,-91.2375,180.0,top
SW31,81.7375,-92.2375,175.0,top
SW32,103.7375,-95.2375,170.0,top
SW33,125.0,-90.15,250.0,top
SW34,123.1375,-44.625,180.0,top
SW35,123.1375,-25.575,180.0,top
SW5,124.0,-64.45,270.0,top
SW6,8.8375,-16.05,180.0,top
SW7,27.8875,-16.05,180.0,top
SW8,46.9375,-13.05,180.0,top
SW9,65.9875,-11.05,180.0,top
