Designator,Mid X,Mid Y,Rotation,Layer
C1,14.9625,-51.65,0.0,top
C2,19.77451,-42.417422,180.0,top
C3,7.6,-5.9,180.0,top
C4,9.575,-30.3,90.0,top
C5,17.2225,-5.80108,180.0,top
C6,11.124999,-42.4,0.0,top
C7,13.349999,-54.6,0.0,top
C8,16.91412,-69.75,0.0,top
C9,12.1225,-46.264167,90.0,top
D1,5.099999,-61.164166,0.0,top
D2,5.099999,-63.164166,0.0,top
D3,14.385,-6.538061,90.0,top
D4,17.2225,-7.975561,180.0,top
D5,5.094999,-59.164166,0.0,top
H5,5.0,-10.0,0.0,top
H6,8.0,-72.0,0.0,top
J1,20.979007,-34.860819,90.0,top
J2,16.90912,-66.0,90.0,top
J3,2.0,-25.5,180.0,top
R1,10.487501,-36.108481,180.0,top
R10,10.374999,-61.914166,180.0,top
R11,5.4225,-44.814166,180.0,top
R12,10.374999,-63.914166,0.0,top
R13,11.6675,-5.81,180.0,top
R14,16.49,-10.7125,270.0,top
R15,10.374999,-59.914166,0.0,top
R2,11.575,-32.198319,90.0,top
R3,13.96,-13.42,180.0,top
R4,17.36,-13.42,0.0,top
R5,13.6575,-9.26,0.0,top
R6,7.2725,-42.414166,0.0,top
R7,9.172997,-39.627452,270.0,top
R8,4.6725,-47.514166,270.0,top
R9,14.86,-42.389166,180.0,top
SW1,20.0,-57.4,90.0,top
SW2,20.0,-57.4,270.0,bottom
SW3,5.3,-2.65,0.0,top
SW4,14.9,-2.65,0.0,top
U1,17.57451,-47.034674,180.0,top
U2,6.785,-30.4575,270.0,top
U3,13.885,-21.52,270.0,top
U4,12.425,-39.9875,90.0,top
U5,8.935,-47.214166,0.0,top
