Designator,Mid X,Mid Y,Rotation,Layer
D10,-41.8625,-3.95,90.0,top
D11,-22.8625,-5.95,90.0,top
D12,-118.0625,-25.95,90.0,top
D13,-99.0625,-25.95,90.0,top
D14,-79.9625,-23.05,90.0,top
D15,-60.9625,-20.95,90.0,top
D16,-41.8625,-22.95,90.0,top
D17,-22.8625,-24.95,90.0,top
D18,-118.0625,-45.05,90.0,top
D19,-99.0625,-45.05,90.0,top
D20,-79.9625,-42.05,90.0,top
D21,-60.9625,-40.05,90.0,top
D22,-41.8625,-42.05,90.0,top
D23,-22.8625,-44.05,90.0,top
D24,-118.0625,-64.15,90.0,top
D25,-98.9625,-64.05,90.0,top
D26,-79.9625,-61.15,90.0,top
D27,-60.9625,-59.15,90.0,top
D28,-41.8625,-61.15,90.0,top
D29,-22.8625,-63.15,90.0,top
D30,-65.3625,-78.95,135.0,top
D31,-43.725413,-80.687087,135.0,top
D32,-20.9625,-83.55,180.0,top
D33,-0.8625,-65.65,135.0,top
D34,-0.700001,-29.15,180.0,top
D35,-0.700001,-10.115,180.0,top
D6,-118.0625,-6.95,90.0,top
D7,-99.0625,-6.887501,90.0,top
D8,-79.9625,-3.95,90.0,top
D9,-60.9625,-1.95,90.0,top
H1,-97.5,8.55,0.0,top
H2,-86.5,-68.45,0.0,top
H3,0.0,0.0,0.0,top
H4,-2.9625,-61.95,0.0,top
J4,3.0,-15.5,180.0,top
SW10,-49.4625,4.95,180.0,top
SW11,-30.4125,2.95,180.0,top
SW12,-125.6625,-17.1,180.0,top
SW13,-106.6125,-17.1,180.0,top
SW14,-87.5625,-14.1,180.0,top
SW15,-68.5125,-12.1,180.0,top
SW16,-49.4625,-14.1,180.0,top
SW17,-30.4125,-16.1,180.0,top
SW18,-125.6625,-36.15,180.0,top
SW19,-106.6125,-36.15,180.0,top
SW20,-87.5625,-33.15,180.0,top
SW21,-68.5125,-31.15,180.0,top
SW22,-49.4625,-33.15,180.0,top
SW23,-30.4125,-35.15,180.0,top
SW24,-125.6625,-55.2,180.0,top
SW25,-106.6125,-55.2,180.0,top
SW26,-87.5625,-52.2,180.0,top
SW27,-68.5125,-50.2,180.0,top
SW28,-49.4625,-52.2,180.0,top
SW29,-30.4125,-54.2,180.0,top
SW30,-74.7625,-73.2375,180.0,top
SW31,-52.7625,-74.2375,175.0,top
SW32,-30.7625,-77.2375,170.0,top
SW33,-9.5,-72.15,250.0,top
SW34,-11.3625,-26.625,180.0,top
SW35,-11.3625,-7.575,180.0,top
SW5,-10.5,-46.45,270.0,top
SW6,-125.6625,1.95,180.0,top
SW7,-106.6125,1.95,180.0,top
SW8,-87.5625,4.95,180.0,top
SW9,-68.5125,6.95,180.0,top
